Wavelength,Acoita,Aroeira_vermelha,Aroeira_braba,Inga,Pata_de_vaca
2071,0.2036603,0.171845779,0.148832013,0.185312837,0.197462288
2072,0.198188108,0.164828497,0.132638611,0.195582904,0.200914919
2073,0.192592993,0.175713907,0.117280068,0.194573852,0.204425493
2074,0.188646328,0.184550869,0.10278769,0.186919677,0.207784331
2075,0.192694736,0.177552304,0.11664305,0.198994601,0.209472995
2076,0.200304975,0.165528762,0.139449917,0.22171973,0.208990148
2077,0.199467474,0.158366156,0.141234738,0.230355629,0.2085307
2078,0.190110359,0.154827194,0.13157982,0.227076876,0.210280333
2079,0.186248997,0.149700814,0.134659774,0.213463014,0.21549969
2080,0.192363936,0.143724352,0.150885823,0.188438934,0.218912795
2081,0.19135223,0.14076338,0.156342977,0.178205049,0.213570449
2082,0.171936181,0.142499897,0.141044746,0.197839123,0.202491972
2083,0.162798625,0.146195219,0.133132446,0.215739894,0.197515389
2084,0.194455078,0.171556059,0.143163626,0.22211023,0.214571512
2085,0.222300833,0.199339586,0.150619656,0.229050037,0.229536624
2086,0.192145938,0.187309092,0.148506966,0.241290548,0.221724784
2087,0.162503819,0.17330943,0.147484738,0.255022404,0.212843508
2088,0.197494403,0.183067027,0.145994385,0.232763478,0.222199368
2089,0.239493889,0.198035228,0.139420862,0.206160575,0.230611835
2090,0.220144787,0.195381832,0.148303656,0.200866958,0.231529111
2091,0.185112046,0.185097528,0.169916111,0.204294659,0.233263871
2092,0.197051078,0.181725255,0.154270476,0.204573414,0.223060891
2093,0.231667581,0.186349916,0.112330402,0.200553165,0.204270291
2094,0.238089195,0.185487475,0.10397248,0.204287136,0.207600799
2095,0.223112932,0.173376387,0.133466552,0.215196273,0.241938624
2096,0.220806131,0.166803427,0.152307865,0.226984227,0.268789488
2097,0.231444556,0.180676204,0.149856076,0.242203331,0.261655217
2098,0.234784678,0.198382486,0.146602201,0.250609961,0.251351529
2099,0.221061233,0.209397382,0.14571885,0.231477404,0.248909757
2100,0.213371766,0.214374593,0.14774773,0.210262653,0.247192991
2101,0.220731065,0.191818815,0.137393744,0.217675668,0.23937324
2102,0.223897934,0.172185141,0.127355832,0.226383349,0.231553289
2103,0.201485056,0.182665832,0.138978329,0.233837748,0.216028383
2104,0.182491812,0.192444204,0.158435968,0.23874937,0.199942884
2105,0.204907987,0.189884788,0.15691544,0.241180062,0.198980831
2106,0.224782386,0.191657043,0.145321147,0.243758899,0.198713562
2107,0.225574967,0.199066184,0.135005304,0.242214045,0.21096018
2108,0.227173769,0.198748499,0.131907617,0.240265694,0.231807077
2109,0.237698007,0.183326656,0.152103269,0.234852585,0.237141237
2110,0.248973489,0.170849544,0.178394553,0.227718893,0.233564132
2111,0.246004623,0.181862402,0.18616164,0.221749935,0.244545236
2112,0.224366471,0.201184863,0.175627728,0.222407025,0.270643979
2113,0.203963313,0.195698228,0.168254863,0.223941147,0.2795396
2114,0.194421369,0.179584634,0.168132231,0.209047413,0.262163568
2115,0.197220582,0.188455732,0.164314297,0.199048424,0.249617156
2116,0.216751906,0.23435066,0.16039236,0.232260311,0.226931944
2117,0.226112351,0.26509549,0.160387882,0.261322555,0.20646212
2118,0.223037729,0.235899186,0.177866338,0.235307282,0.21461836
2119,0.22529157,0.210806805,0.196043873,0.204931086,0.223860812
2120,0.22371923,0.188333675,0.173126256,0.218899947,0.244457108
2121,0.214183315,0.15927837,0.144836888,0.241624099,0.267952886
2122,0.204308704,0.185156792,0.156736308,0.222755313,0.258871821
2123,0.208608598,0.23267408,0.178652121,0.193424013,0.245540506
2124,0.233950642,0.224449083,0.178948648,0.215705368,0.248377913
2125,0.254207224,0.192495894,0.170356098,0.254617378,0.252011895
2126,0.239162979,0.187595636,0.175050341,0.254799613,0.257498419
2127,0.214225265,0.209636882,0.185450584,0.228762701,0.274765915
2128,0.222440949,0.206609938,0.184238736,0.213104805,0.276276508
2129,0.251117021,0.164463185,0.168145415,0.217874101,0.248455063
2130,0.251723731,0.158440776,0.167307277,0.21648069,0.235734254
2131,0.22030873,0.226441763,0.194869396,0.193865184,0.256737837
